task_id,percentage
1,84.0
6,75.86206896551724
7,71.42857142857143
8,0.0
9,90.0
10,66.66666666666666
11,71.42857142857143
12,91.66666666666666
13,55.55555555555556
15,85.71428571428571
228,88.23529411764706
230,25.0
237,90.9090909090909
242,0.0
246,92.3076923076923
249,0.0
255,100.0
258,0.0
260,100.0
264,0.0
266,0.0
273,0.0
276,100.0
278,100.0
284,60.0
287,88.88888888888889
467,81.25
468,60.0
681,50.0
682,0.0
758,80.0
784,0.0
785,0.0
1001,100.0
1041,100.0
1223,92.3076923076923
1224,100.0
1273,100.0
1280,100.0
1311,0.0
1376,100.0
1416,0.0
